indicator,city,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,age1,age2,age3,age1_a,age2_a,age3_a,race1,race2,race3,race4,race1_a,race2_a,race3_a,race4_a,,,,
homeownership,Philadelphia,0.574378005,0.562337552,0.546431862,0.540974917,0.540054369,0.521753002,0.510014969,0.520125912,0.526487094,0.521364001,,0.527,0.248,0.577,0.699,36155,183685,100850,0.598,0.484,0.446,0.536,143034,120957,31626,20901,,,,
homeownership,Phoenix,0.618063946,0.613515341,0.590928182,0.557614698,0.552308667,0.529447518,0.524072255,0.508175344,0.503542687,0.530456711,0.561239728,0.536,0.267,0.587,0.731,37530,191950,78284,0.624,0.25,0.462,0.622,194001,10592,84380,12385,,,,
homeownership,Pittsburgh,0.538241152,0.521793314,0.471035034,0.513702745,0.48198458,0.477009877,0.497676701,0.472931539,0.474896239,0.4718562,0.489071754,0.469,0.188,0.569,0.67,8641,35854,22103,0.55,0.315,0.195,0.234,53502,9770,577,1726,,,,
homeownership,Washington,0.445400914,0.434290949,0.447761553,0.424715121,0.411750475,0.415061014,0.40681978,0.405554875,0.399432905,0.392460559,0.422080114,0.423,0.175,0.5,0.58,14507,72860,34173,0.506,0.363,0.306,0.456,59581,45312,8548,5303,,,,
foreign_born,Baltimore,0.058485697,0.058596148,0.064860107,0.070884958,0.074393092,0.074709258,0.071243715,0.078070884,0.080175412,0.08144287,0.087499673,0.079,0.068,0.1,0.067,20005,22156,5592,0.045,0.043,0.413,0.6,7550,15819,13661,9289,,,,
foreign_born,Boston,0.285960102,0.26922569,0.25068701,0.269255837,0.264729931,0.262380866,0.277341751,0.275952632,0.283990745,0.28872243,0.292716851,0.279,0.191,0.387,0.391,73709,88443,32217,0.112,0.333,0.417,0.669,34606,56873,58104,44317,,,,
foreign_born,Chicago,0.215717262,0.214046556,0.206447847,0.206635391,0.21392711,0.213678944,0.210729115,0.204899194,0.210788898,0.206887335,0.207508148,0.2,0.109,0.291,0.292,147529,291183,102026,0.127,0.041,0.335,0.681,114641,32934,260235,123671,,,,
foreign_born,Cleveland,0.044243758,0.046086631,0.045193326,0.044768322,0.053051772,0.042954751,0.044095707,0.050810733,0.048523549,0.055301833,0.057040295,0.057,0.044,0.058,0.099,8170,8266,5402,0.052,0.006,0.1,0.727,6850,1107,4696,8367,,,,
foreign_born,Detroit,0.054197126,0.048568926,0.066059321,0.04819008,0.049637722,0.050356082,0.050270058,0.056842687,0.058868095,0.058789083,0.061467561,0.066,0.053,0.09,0.051,17999,21733,4788,0.172,0.008,0.35,0.706,12572,4283,18454,7486,,,,
foreign_born,Houston,0.278025808,0.283588514,0.284913915,0.287198036,0.276528671,0.278581163,0.283449244,0.292822283,0.302880675,0.303071792,0.290921785,0.297,0.201,0.44,0.292,249056,370616,71812,0.11,0.093,0.427,0.749,60503,48435,446449,126810,,,,
