indicator,city,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,age1,age2,age3,age1_a,age2_a,age3_a,race1,race2,race3,race4,race1_a,race2_a,race3_a,race4_a
commute,Washington,0.371186225,0.383018162,0.3958918,0.385996327,0.384883379,0.360596627,0.357769091,0.360158916,0.326716927,0.344,0.342,,0.116,n/a,n/a,n/a,n/a,n/a,n/a,0.072704151,0.169465958,0.167821455,0.071001385,12586,18838,6951,1357
homeownership,Baltimore,0.507141032,0.459278405,0.486150528,0.463143983,0.462316786,0.459536955,0.447520973,0.457485338,0.47419677,0.475,0.476006823,,0.484526477,0.273497742,0.500043452,0.623225542,15748,63293,36483,0.605113932,0.416917435,0.3689545,0.395645646,46526,60822,3349,2635
homeownership,Boston,0.371876496,0.324843775,0.335418777,0.332018896,0.336423615,0.349203347,0.340626099,0.349969356,0.351891884,0.341,0.346900973,,0.347490816,0.146182559,0.425801814,0.48707698,12924,55083,26195,0.441102359,0.298626792,0.150635895,0.284131615,61094,17854,6775,7694
homeownership,Chicago,0.468470089,0.458563972,0.442251722,0.443604819,0.429008403,0.43645364,0.43816397,0.437019088,0.448856776,0.457,0.441519144,,0.465958543,0.195142275,0.5137644,0.576219064,56907,282928,137158,0.515943558,0.327914334,0.453395507,0.469873753,226848,106138,104913,33385
homeownership,Cleveland,0.461123617,0.469495121,0.448701754,0.411548885,0.424847932,0.395170619,0.411852064,0.418368923,0.404077639,0.4,0.400315792,,0.391306378,0.141736784,0.437959595,0.601806302,6199,38653,23855,0.503491642,0.354948275,0.288755785,0.3014862,31868,29679,5303,1136
homeownership,Detroit,0.537514534,0.532380359,0.51768528,0.498808644,0.499377257,0.462523176,0.465740668,0.459808326,0.469420487,0.468,0.478406373,,0.512789547,0.226877527,0.489804434,0.66255022,12682,70428,44691,0.524891978,0.465389954,0.525399033,0.458842706,16764,98907,7933,1689
homeownership,Houston,0.47430318,0.462245625,0.45043311,0.440694343,0.430057184,0.416539599,0.413640888,0.431423584,0.427698445,0.419,0.403377509,,0.421874611,0.160660204,0.449232876,0.643402486,40104,207949,105509,0.560329981,0.253824971,0.371329479,0.440296013,145762,56041,118629,27666
homeownership,Philadelphia,0.546431862,0.540974917,0.540054369,0.521753002,0.510014969,0.520125912,0.526487094,0.521364001,,0.527,0.522549455,,0.52795266,0.231314032,0.588393511,0.69068534,36057,187258,100407,0.582792595,0.476669034,0.448942461,0.593732976,141727,119479,33558,25068
homeownership,Phoenix,0.590928182,0.557614698,0.552308667,0.529447518,0.524072255,0.508175344,0.503542687,0.530456711,0.561239728,0.536,0.544666864,,0.588395436,0.29733091,0.572497336,0.759887288,39925,196129,83599,0.630885352,0.268454014,0.480959216,0.564475856,196423,11445,91136,13338
homeownership,Pittsburgh,0.471035034,0.513702745,0.48198458,0.477009877,0.497676701,0.472931539,0.474896239,0.4718562,0.489071754,0.469,0.451359614,,0.487974142,0.175195026,0.576514077,0.664960923,9073,34155,21441,0.529112528,0.301267592,0.267445343,0.177489177,51798,9483,893,1230
homeownership,Washington,0.447761553,0.424715121,0.411750475,0.415061014,0.40681978,0.405554875,0.399432905,0.392460559,0.422080114,0.423,0.414953527,,0.415990487,0.191406741,0.48050013,0.586729712,16759,69981,34248,0.496299141,0.343438024,0.39420618,0.415036472,62023,42417,9403,5007
foreign_born,Baltimore,0.064860107,0.070884958,0.074393092,0.074709258,0.071243715,0.078070884,0.080175412,0.08144287,0.087499673,0.079,0.073312,0.080660962,0.079908343,0.601,0.27,0.129,171859,215047,85230,0.193,0.357,0.23,0.2,137148,278581,22970,n/a
foreign_born,Boston,0.25068701,0.269255837,0.264729931,0.262380866,0.277341751,0.275952632,0.283990745,0.28872243,0.292716851,0.279,0.272252,0.282214801,0.275071414,0.518,0.313,0.168,260986,220000,83078,0.135,0.223,0.323,0.253,264165,108995,103594,58025
foreign_born,Chicago,0.206447847,0.206635391,0.21392711,0.213678944,0.210729115,0.204899194,0.210788898,0.206887335,0.207508148,0.2,0.203309,0.202506384,0.203844452,0.442,0.358,0.2,824112,1015144,373166,0.203,0.054,0.505,0.222,779609,617636,599739,161940
foreign_born,Cleveland,0.045193326,0.044768322,0.053051772,0.042954751,0.044095707,0.050810733,0.048523549,0.055301833,0.057040295,0.057,0.069036,0.06084037,0.056966463,0.573,0.24,0.187,107936,136577,55130,0.302,0.148,0.22,0.309,112960,136646,33472,n/a
foreign_born,Detroit,0.066059321,0.04819008,0.049637722,0.050356082,0.050270058,0.056842687,0.058868095,0.058789083,0.061467561,0.066,0.061206,0.06129834,0.052877935,0.596,0.29,0.114,172860,225004,93929,0.252,0.106,0.419,0.196,56136,376320,33725,n/a
foreign_born,Houston,0.284913915,0.287198036,0.276528671,0.278581163,0.283449244,0.292822283,0.302880675,0.303071792,0.290921785,0.297,0.282763,0.288984532,0.287669208,0.55,0.331,0.119,680301,858070,277960,0.13,0.062,0.674,0.171,474881,406957,755727,135936
foreign_born,Philadelphia,0.115972564,0.11609128,0.124765127,0.119746809,0.126856451,0.130492464,0.131002614,0.147991035,,0.147,0.139806,0.142824263,0.14960054,0.552,0.299,0.119,476379,567487,226776,0.213,0.213,0.218,0.337,457989,493256,176081,99688
foreign_born,Phoenix,0.217380119,0.199616276,0.202028739,0.204988853,0.197495622,0.203049358,0.192387593,0.199259957,0.19278574,0.195,0.200687,0.193319312,0.185461229,0.501,0.382,0.118,470261,610444,189612,0.112,0.048,0.678,0.147,556104,91780,499627,53951
foreign_born,Pittsburgh,0.064154152,0.061152738,0.074358207,0.079670294,0.082785658,0.075829803,0.092603118,0.087621532,0.087641445,0.088,0.090279,0.09005065,0.086053106,0.713,0.192,0.096,116174,98558,47617,0.288,0.129,0.111,0.437,175538,51275,n/a,n/a
foreign_born,Washington,0.120252077,0.135219777,0.135274338,0.142843136,0.143582866,0.139550731,0.141495147,0.133051955,0.146778256,0.139,0.120911,0.134183032,0.133163197,0.546,0.305,0.149,48717,27214,13295,0.213,0.227,0.348,0.182,20789.658,19808.172,31407.552,15793.002
hh_income,Baltimore,38772,38346,38721,39241,42266,42665,44165,47350,47131,51000,50177,,54652,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,83740,42825,62500,55910
