indicator,city,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,age1,age2,age3,age1_a,age2_a,age3_a,race1,race2,race3,race4,race1_a,race2_a,race3_a,race4_a
deep_poverty,Philadelphia,0.119951396,0.134751535,0.131056045,0.122521885,0.121974927,0.12281726,0.121619832,0.122661292,,0.111,0.110504,0.107948628,0.074940065,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
deep_poverty,Phoenix,0.102100578,0.113485532,0.108508079,0.116308231,0.112840914,0.106436355,0.107006782,0.090067281,0.072339717,0.064,0.063869,0.069961097,0.102405659,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
deep_poverty,Pittsburgh,0.117690091,0.099007898,0.126531457,0.107463785,0.118607528,0.119662726,0.112931433,0.097763692,0.112065107,,0.102633,0.101475632,0.098331368,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
deep_poverty,Washington,0.107224611,0.106817899,0.103105975,0.103719629,0.103199147,0.090961948,0.091862884,0.107435452,0.089338855,0.097,0.072682,0.08689427,0.087733918,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
homicide_capita,Baltimore,38.356,35.91,31.752,35,37.43,33.9,55.2,51.5,55.8,50.5,58.6,56.4,39.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
homicide_capita,Boston,8.161,11.754,9.992,9.3,5.971,8.2,6.1,6.9,8.6,8.2,5.5,8.2,5.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
homicide_capita,Chicago,16.982,16.015,15.915,18.7,15.256,15,17.2,28,24,20.7,18.3,28.5,29,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
homicide_capita,Cleveland,20.659,20.46,18.849,24.6,14.805,26.4,30.8,35,33.7,33.5,30.9,45.9,45.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
homicide_capita,Detroit,49.647,43.593,48.791,54.6,45.672,43.6,43.4,44.6,39.7,38.8,39,48.8,48.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
homicide_capita,Houston,13.75,12.819,9.321,10.1,9.907,11,13.2,13.2,11.7,12.1,12.1,17.2,20.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
homicide_capita,Philadelphia,19.938,20.022,21.035,21.6,15.85,16,17.9,17.7,20.2,22.2,22.5,31.5,35,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
homicide_capita,Phoenix,6.127,8.004,7.891,7.9,7.726,7.7,7.4,9.4,10,8.4,8.3,10.4,9.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
homicide_capita,Pittsburgh,12.721,18.009,14.374,13.7,14.657,23.2,19.6,18.4,18.8,17.9,12.3,17,39.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
homicide_capita,Washington,24.315,21.815,17.431,14.2,15.836,16.2,24.6,20.1,17,23.1,23.5,28.1,32.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
population,Baltimore,620509,621005,620442,622973,622497,623165,622150,615150,609841,602495,593490,583132,576498,0.479136094,0.373022977,0.147840929,276221,215047,85230,0.268418971,0.593499023,0.060381823,0.024739028,154743,342151,34810,14262
population,Boston,612669,621074,630480,643003,653103,663017,670791,680470,688276,694583,694295,674272,654776,0.536777012,0.336246964,0.126976024,351203,220000,83078,0.436885681,0.192385229,0.20463226,0.094936274,285845,125874,133887,62115
population,Chicago,2697006,2697529,2708209,2719735,2726772,2728524,2726215,2718946,2713067,2705994,2693959,2741730,2696555,0.485155352,0.376458756,0.138385892,1308251,1015144,373166,0.328985697,0.281088023,0.288420696,0.068332591,887130,757971,777744,184263
population,Cleveland,401770,395890,392594,391500,391759,390850,389248,387708,385428,383793,380989,372032,367991,0.479065559,0.233822275,0.287112167,176299,86048,105659,0.336388537,0.468457036,0.122155617,0.024630033,123793,172395,44954,9064
population,Detroit,731155,711120,705043,700159,691883,682669,679305,676883,674188,672662,670052,638176,632464,0.495829045,0.3556875,0.148483455,313656,225004,93929,0.102617972,0.763679103,0.076571044,0.014107106,64915,483095,48438,8924
population,Houston,2087334,2098446,2124143,2160086,2198280,2240982,2286630,2309752,2317445,2325502,2316797,2300027,2288250,0.503276496,0.375186868,0.121536637,1151017,858070,277960,0.241786898,0.219648306,0.439521357,0.069560005,552978,502346,1005206,159087
population,Philadelphia,1514694,1528293,1540322,1551797,1558371,1565604,1571258,1576390,1580221,1584138,1584064,1601005,1576251,0.496106267,0.360023245,0.143870488,781988,567487,226776,0.330118109,0.385951857,0.158911874,0.074556019,520349,608357,250485,117519
population,Phoenix,1452679,1449295,1470052,1499839,1527336,1556552,1584927,1613581,1634984,1660272,1680988,1611345,1624569,0.507518133,0.375764448,0.11671742,824483,610444,189612,0.39844842,0.07171204,0.42667304,0.04030928,647295,116499,693147,65484
population,Pittsburgh,306570,305410,306107,306470,307022,306092,304211,304814,301720,301048,300281,302777,300431,0.513486257,0.328030248,0.158483495,154279,98558,47617,0.637541853,0.208181618,0.0347574,0.051465449,191552,62549,10443,15463
population,Washington,592228,605085,619602,634725,650431,662513,675254,686575,695691,702455,705749,690093,670050,0.503178867,0.369047086,0.127774047,337155,247280,85615,0.36424595,0.42675173,0.11479591,0.04015819,244063,285945,76919,26908
