indicator,city,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,age1,age2,age3,age1_a,age2_a,age3_a,white,black,hispanic,asian,white_a,black_a,hispanic_a,asian_a
foreign_born,Boston,0.285960102,0.26922569,0.25068701,0.269255837,0.264729931,0.262380866,0.277341751,0.275952632,0.283990745,0.28872243,0.292716851,,0.200495678,0.406959886,0.396891878,74992,93193,31745,0.174326014,0.303451208,0.287835743,0.242234782,34853,60669,57547,48430
foreign_born,Chicago,0.215717262,0.214046556,0.206447847,0.206635391,0.21392711,0.213678944,0.210729115,0.204899194,0.210788898,0.206887335,0.207508148,,0.120309928,0.30589296,0.271809538,165911,307390,90387,0.223648543,0.050565206,0.503101006,0.209530804,126068,28503,283592,118110
foreign_born,Cleveland,0.044243758,0.046086631,0.045193326,0.044768322,0.053051772,0.042954751,0.044095707,0.050810733,0.048523549,0.055301833,0.057040295,,0.042523475,0.070154237,0.071807757,7916,10275,3801,0.233448527,0.153965078,0.264823572,0.331074936,5134,3386,5824,7281
foreign_born,Detroit,0.054197126,0.048568926,0.066059321,0.04819008,0.049637722,0.050356082,0.050270058,0.056842687,0.058868095,0.058789083,0.061467561,,0.049556599,0.081712891,0.052955874,16815,19557,5002,0.29956011,0.072992701,0.400710591,0.215763523,12394,3020,16579,8927
foreign_born,Houston,0.278025808,0.283588514,0.284913915,0.287198036,0.276528671,0.278581163,0.283449244,0.292822283,0.302880675,0.303071792,0.290921785,,0.201844656,0.43062851,0.265180081,249196,358509,65264,0.085757293,0.079511835,0.67251389,0.15633261,57712,53509,452581,105207
foreign_born,Philadelphia,0.111288091,0.104525026,0.115972564,0.11609128,0.124765127,0.119746809,0.126856451,0.130492464,0.131002614,0.147991035,0.138424392,,0.102419554,0.180560972,0.163039166,82446,101866,34518,0.237344057,0.219901293,0.20094137,0.331791802,51938,48121,43972,72606
foreign_born,Phoenix,0.256945376,0.232825681,0.217380119,0.199616276,0.202028739,0.204988853,0.197495622,0.203049358,0.192387593,0.199259957,0.19278574,,0.120423119,0.297998468,0.174549834,101423,181625,30438,0.125823801,0.034776673,0.679711375,0.150000319,39444,10902,213080,47023
foreign_born,Pittsburgh,0.074739274,0.065325872,0.064154152,0.061152738,0.074358207,0.079670294,0.082785658,0.075829803,0.092603118,0.087621532,0.087641445,,0.084772931,0.102983598,0.065895458,13539,9889,3076,0.295691216,0.129527618,0.071574102,0.501546936,7837,3433,1897,13293
foreign_born,Washington,0.126483107,0.131597934,0.120252077,0.135219777,0.135274338,0.142843136,0.143582866,0.139550731,0.141495147,0.133051955,0.146778256,,0.111594307,0.205983051,0.123297457,40365,51139,10356,0.234714314,0.206754369,0.372668368,0.181356764,23908,21060,37960,18473
hh_income,Baltimore,36949,40313,38772,38346,38721,39241,42266,42665,44165,47350,47131,,N/A,N/A,N/A,N/A,N/A,N/A,75496,36648,57028,63623,76403,145025,8199,6691
hh_income,Boston,50476,51688,55979,49893,49081,51642,53583,56902,58263,63621,66758,,N/A,N/A,N/A,N/A,N/A,N/A,98317,37723,36998,47048,134818,60067,46915,25384
hh_income,Chicago,45505,46911,45734,44776,43628,45214,47099,48734,50702,53006,55295,,N/A,N/A,N/A,N/A,N/A,N/A,82158,31267,49390,68628,428922,314059,218636,68231
hh_income,Cleveland,28512,26731,24687,25977,25371,24257,26096,24701,28831,27551,28974,,N/A,N/A,N/A,N/A,N/A,N/A,39156,22567,26451,34651,62995,84493,17067,3675
hh_income,Detroit,28097,28730,26098,25787,25193,23600,24820,25769,25980,28099,30344,,N/A,N/A,N/A,N/A,N/A,N/A,31787,29937,30975,45507,32295,210575,14183,3480
hh_income,Houston,40856,44315,42945,42355,42877,42847,45353,45460,48064,47793,50896,,N/A,N/A,N/A,N/A,N/A,N/A,81761,38765,41591,69653,269716,207968,291299,57302
