indicator,city,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,age1,age2,age3,age1_a,age2_a,age3_a,race1,race2,race3,race4,race1_a,race2_a,race3_a,race4_a
homeownership,Boston,0.385287244,0.368499672,0.371876496,0.324843775,0.335418777,0.332018896,0.336423615,0.349203347,0.340626099,0.349969356,0.351891884,0.341,0.346900973,,0.347490816,0.348608221,0.358835799,0.359102574,0.146215132,0.573977423,0.279807445,14792,58067,28307,0.625,0.168,0.085,0.089,63212,17028,8602,9029
homeownership,Chicago,0.499142647,0.480140523,0.468470089,0.458563972,0.442251722,0.443604819,0.429008403,0.43645364,0.43816397,0.437019088,0.448856776,0.457,0.441519144,,0.465958543,0.457466811,0.462682377,0.465344939,0.129371625,0.581664832,0.288963544,69086,310616,154310,0.476,0.216,0.234,0.08,254317,115412,125119,42748
homeownership,Cleveland,0.466563494,0.462052565,0.461123617,0.469495121,0.448701754,0.411548885,0.424847932,0.395170619,0.411852064,0.418368923,0.404077639,0.4,0.400315792,,0.391306378,0.40228535,0.430600034,0.461137358,0.108143608,0.542963674,0.348892718,7657,38444,24703,0.478,0.389,0.093,0.018,33868,27538,6568,1258
homeownership,Detroit,0.554124352,0.533031142,0.537514534,0.532380359,0.51768528,0.498808644,0.499377257,0.462523176,0.465740668,0.459808326,0.469420487,0.468,0.478406373,,0.512789547,0.497527164,0.537671434,0.509688563,0.101335694,0.54182994,0.356834366,13163,70381,46351,0.139,0.747,0.069,0.011,18012,97030,8916,1445
homeownership,Houston,0.474266868,0.466959525,0.47430318,0.462245625,0.45043311,0.440694343,0.430057184,0.416539599,0.413640888,0.431423584,0.427698445,0.419,0.403377509,,0.421874611,0.407727894,0.424079707,0.408755735,0.11145053,0.580250256,0.308299214,43635,227179,120705,0.452,0.172,0.328,0.082,176874,67218,128484,31938
homeownership,Philadelphia,0.574378005,0.562337552,0.546431862,0.540974917,0.540054369,0.521753002,0.510014969,0.520125912,0.526487094,0.521364001,,0.527,0.522549455,,0.52795266,0.508449347,0.518370556,0.518707856,0.130810872,0.556584874,0.312604254,46033,195865,110007,0.432,0.359,0.113,0.08,151913,126315,39926,28245
homeownership,Phoenix,0.618063946,0.613515341,0.590928182,0.557614698,0.552308667,0.529447518,0.524072255,0.508175344,0.503542687,0.530456711,0.561239728,0.536,0.544666864,,0.588395436,0.576738261,0.561622513,0.576284316,0.134356759,0.600212571,0.26543067,47025,210075,92901,0.636,0.043,0.289,0.043,222428,15203,101108,15138
homeownership,Pittsburgh,0.538241152,0.521793314,0.471035034,0.513702745,0.48198458,0.477009877,0.497676701,0.472931539,0.474896239,0.4718562,0.489071754,0.469,0.451359614,,0.487974142,0.493279294,0.485510081,0.482996147,0.13336674,0.521668489,0.344964772,8783,34355,22718,0.786,0.135,0.024,0.031,51746,8884,1576,2018
homeownership,Washington,0.445400914,0.434290949,0.447761553,0.424715121,0.411750475,0.415061014,0.40681978,0.405554875,0.399432905,0.392460559,0.422080114,0.423,0.414953527,,0.415990487,0.410190537,0.391229648,0.408981852,0.125323909,0.600194531,0.27448156,16879,80836,36968,0.502,0.343,0.084,0.045,67611,46243,11348,6021
foreign_born,Baltimore,0.058485697,0.058596148,0.064860107,0.070884958,0.074393092,0.074709258,0.071243715,0.078070884,0.080175412,0.08144287,0.087499673,0.079,0.073312,0.080660962,0.079908343,0.096755572,0.090616536,0.105842107,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
foreign_born,Boston,0.285960102,0.26922569,0.25068701,0.269255837,0.264729931,0.262380866,0.277341751,0.275952632,0.283990745,0.28872243,0.292716851,0.279,0.272252,0.282214801,0.275071414,0.276412504,0.265680321,0.284999599,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
foreign_born,Chicago,0.215717262,0.214046556,0.206447847,0.206635391,0.21392711,0.213678944,0.210729115,0.204899194,0.210788898,0.206887335,0.207508148,0.2,0.203309,0.202506384,0.203844452,0.205793182,0.210320764,0.219530846,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
foreign_born,Cleveland,0.044243758,0.046086631,0.045193326,0.044768322,0.053051772,0.042954751,0.044095707,0.050810733,0.048523549,0.055301833,0.057040295,0.057,0.069036,0.06084037,0.056966463,0.062617861,0.068880801,0.063589415,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
foreign_born,Detroit,0.054197126,0.048568926,0.066059321,0.04819008,0.049637722,0.050356082,0.050270058,0.056842687,0.058868095,0.058789083,0.061467561,0.066,0.061206,0.06129834,0.052877935,0.06119824,0.06833791,0.083207114,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
foreign_born,Houston,0.278025808,0.283588514,0.284913915,0.287198036,0.276528671,0.278581163,0.283449244,0.292822283,0.302880675,0.303071792,0.290921785,0.297,0.282763,0.288984532,0.287669208,0.293659039,0.292527107,0.307681613,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
